"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ISRG","Intuitive Surgical Inc","1.60%","462.58","+3.79","+0.83%","351.77 K","350.00 - 1094.55",
"CI","Cigna Corporation","1.34%","177.07","-1.00","-0.56%","561.45 K","158.79 - 227.13",
"ESRX","Express Scripts Holding Co.","1.32%","76.30","+0.65","+0.86%","1.32 M","55.80 - 85.07",
"BSX","Boston Scientific Corp","1.30%","30.65","+0.20","+0.66%","3.24 M","24.54 - 30.63",
"ZTS","Zoetis Inc","1.27%","85.22","+0.82","+0.97%","879.90 K","59.50 - 86.38",
"HUM","Humana Inc","1.25%","293.95","+1.08","+0.37%","170.14 K","223.40 - 299.85",
"VRTX","Vertex Pharmaceuticals Inc","1.24%","156.25","-0.99","-0.63%","639.53 K","115.10 - 178.25",
"ILMN","Illumina Inc","1.23%","267.56","-2.11","-0.78%","291.30 K","167.98 - 272.90",
"BAX","Baxter Intl Inc","1.09%","72.21","+1.61","+2.28%","1.98 M","56.82 - 72.58",
"MCK","McKesson Corp","0.95%","146.65","-2.27","-1.52%","792.29 K","134.25 - 178.86",
"HCA","HCA Healthcare Inc","0.89%","104.12","+1.29","+1.25%","944.97 K","71.18 - 106.84",
"EW","Edwards Lifesciences Corp","0.88%","136.93","+0.98","+0.72%","330.93 K","100.20 - 143.22",
"ALXN","Alexion Pharmaceuticals Inc","0.83%","119.35","-1.72","-1.42%","733.95 K","96.18 - 149.34",
"REGN","Regeneron Pharmaceuticals Inc","0.72%","296.10","-5.71","-1.89%","449.44 K","281.89 - 543.55",
"ZBH","Zimmer Biomet Holdings Inc","0.72%","114.48","-0.02","-0.02%","302.18 K","104.28 - 133.49",
"CNC","Centene Corp","0.71%","116.34","+0.96","+0.83%","442.64 K","72.14 - 117.86",
"ALGN","Align Technology Inc","0.67%","302.03","+4.03","+1.35%","649.48 K","136.26 - 299.46",
"A","Agilent Technologies Inc","0.64%","65.64","+1.32","+2.05%","2.49 M","55.85 - 75.00",
"MYL","Mylan NV","0.63%","39.37","-0.29","-0.73%","1.16 M","29.39 - 47.82",
"CERN","Cerner Corp","0.60%","61.03","-0.31","-0.51%","2.43 M","52.05 - 73.86",
"LH","Lab Corp of America Hldgs","0.56%","177.70","+1.49","+0.85%","227.67 K","137.60 - 181.72",
"IDXX","IDEXX Laboratories Inc","0.54%","201.35","+0.59","+0.29%","304.91 K","146.09 - 217.89",
"CAH","Cardinal Health Inc","0.52%","53.34","+0.01","+0.02%","2.11 M","50.79 - 80.37",
"WAT","Waters Corp","0.47%","196.24","+2.08","+1.07%","189.10 K","171.32 - 220.20",
"IQV","IQVIA Holdings Inc","0.46%","101.79","+0.16","+0.16%","750.83 K","82.83 - 110.67",
"MTD","Mettler-Toledo Intl","0.45%","580.60","+7.41","+1.29%","164.93 K","544.64 - 697.26",
"RMD","ResMed Inc","0.45%","102.85","+1.22","+1.20%","208.01 K","67.61 - 104.78",
"ABC","AmerisourceBergen Corp","0.43%","84.46","-0.31","-0.37%","583.50 K","71.90 - 106.27",
"DGX","Quest Diagnostics","0.43%","102.59","+0.44","+0.43%","272.33 K","90.10 - 112.97",
"NKTR","Nektar Therapeutics","0.42%","83.41","-1.89","-2.22%","1.11 M","17.51 - 111.36",
"INCY","Incyte Corp","0.37%","67.00","-0.83","-1.22%","711.13 K","60.23 - 140.11",
"COO","Cooper Companies Inc","0.35%","236.25","+2.94","+1.26%","143.14 K","210.25 - 260.26",
"XRAY","Dentsply Sirona Inc.","0.34%","47.21","-0.29","-0.61%","1.08 M","44.21 - 68.98",
"HSIC","Schein Henry Inc","0.34%","71.55","-0.39","-0.54%","513.79 K","62.56 - 93.50",
"VAR","Varian Medical Systems Inc","0.33%","119.07","+0.67","+0.57%","347.14 K","94.31 - 130.29",
"HOLX","Hologic Inc","0.33%","39.11","+0.29","+0.75%","727.70 K","35.10 - 46.80",
"UHS","Universal Health Services B","0.32%","119.00","+1.14","+0.97%","309.65 K","95.26 - 128.15",
"DVA","DaVita Inc","0.31%","68.19","+0.07","+0.10%","526.02 K","52.51 - 80.71",
"PRGO","Perrigo Company plc","0.31%","75.60","-0.61","-0.80%","488.48 K","63.68 - 95.93",
"PKI","PerkinElmer Inc","0.26%","76.20","+0.73","+0.96%","250.33 K","61.50 - 84.49",
"EVHC","Envision Healthcare Corp","0.16%","43.23","+1.23","+2.93%","1.83 M","23.77 - 64.00",
